sample,IFNg_18,WNT,Angiogenesis,Adenosine,Auslander,Chaurio,Chemokine,Cytotoxic,Effector_T_Cell,Glycolysis,gMDSC,Huang_NRS,Hypoxia,IFNg_6,IFNg_Effector_T_Cells,Ipi_neoadjuvant,MHC_I,MHC_II,mMDSC,MYC,Ock_Immune_Sig_Score,Pan,Proliferation,Ras,Roh_Immune_Score,Rooney_Immune_Cytolytic,Stroma,TIP_Hot,TLS,LKB1_loss,buffa.score,MitoScore,SCN,CAlevel
SL380044,0.17797967941188308,-0.23453180593699496,-0.003383137409272239,0.2559428807487026,0.13863688271344915,0.10842183690613061,0.021011094820353644,0.20474699491687368,-0.2685229530719027,-0.5737298017471497,0.02530219025287965,0.04762721333905659,-0.30469108591338195,0.0683717539725219,-0.1835511013413784,0.24112305556616107,0.03332221745504997,0.5120291433748041,0.15915978491175573,-0.4241290816493002,0.14675397636757975,-0.38953328770204415,-0.8623702237763721,0.33868602549445526,0.26824272398175397,-0.15984484589546624,0.009187683182230651,-0.02672792745172097,0.3601233381478871,0.09850911473660175,-22,3.478638320950886,32.69212665002143,Low
SL380045,0.7732658432017917,-0.020477399719961285,0.21738905056240018,0.16914758720336717,0.5664133346915674,0.6190887245411567,1.2617882317844884,0.6170376891292053,0.6572580564283717,0.024155912025289557,0.13374442111839513,0.8702464569940858,-0.05493164732483435,1.2365232457565838,0.9579337590845333,0.9323971563517615,0.13905175007310963,1.1973019235163804,0.632143105502957,-0.7976719788009264,0.32609801212532485,0.062326043555338176,-0.08985230965527881,0.18883005478790743,0.6521025291988828,0.33913130434092903,1.4299745448326897,1.0265570583767816,0.45421548110510723,-0.5015740289804896,-10,3.4703337084357075,51.51947114409573,Low
SL380048,-1.661693813268213,-1.121149383463471,0.24651246845642247,-0.10169899558484864,-1.414481600688188,-1.8381480339409177,-1.6862160320395885,-2.174447987693934,-1.3446988424023614,0.574163070628038,-0.7234233594435081,-1.067469734980812,0.5895995039583953,-1.0849786387133526,-1.190509550380483,-1.4993187079746964,-0.35843189656555763,-1.0284446704188863,-1.3174617239574193,-0.7916605408518832,-1.0374655645452227,0.6337494164046339,0.7705797443604857,-0.1173770336566374,-1.4327045703496375,-2.998659565378744,-1.2461723006453154,-1.5551819871723986,-1.1496504008360808,-0.2782214989484539,36,3.472037912650494,91.99231540589194,Low
SL380052,0.8202014659098258,-1.3286701868993103,1.593067454700845,0.3284303679623123,0.7173776667626399,0.4535160925178354,1.1615546691229355,1.2190117534722429,1.1986264234939676,0.3460421826306827,0.9202890876923725,1.0309606792784187,0.10376439172731121,0.8279586646104699,1.018375809991738,0.4485685149148148,1.1088928193086034,-0.20394348029811518,0.9069352326030178,0.6101375400143833,0.3022629630238502,-0.243235746395681,0.269734905721962,0.31147886309995254,0.6232656789170692,1.6179485536430356,2.135603887664552,0.7188997336936878,0.20491991255048303,-0.5297962899007682,22,3.5151111640154786,48.61004840930795,Low
SL381475,-0.78009887075839,-0.1493022377891025,-0.5540205242060983,0.12460339476633898,-1.0566927691824577,-0.9650892644388497,-0.6911925652357619,-0.9546927731547723,-1.4151963084376311,-0.962497995442822,-1.2248941454313165,-0.8761088315805795,-0.9026900613425104,-0.2559047817973554,-0.8916951677910582,-0.6845515407407737,-0.35806064514937297,0.050750969215821076,-1.1854832770196726,0.16836011944516927,-0.3703340325307182,-0.06469769656456385,-0.8322069129509692,-0.5153265029559654,-0.4101761886655635,-1.3800182513845112,-0.519907254885034,-0.5990759657754642,-1.055895072180027,-0.14875041747048115,-18,3.4927687514693946,49.26044906262079,Low
SL381501,-1.908325325942714,-0.9285999278974022,-1.006145222899398,-0.0635033879899846,-1.4285070518000738,-1.6438655990200561,-1.5561840328790397,-1.966343788835083,-1.8899787002175745,-0.3637054619824245,-1.279629498097512,-1.6533889350240758,-0.4424332924785468,-1.8344763426975408,-1.75940282557514,-1.5178344193084377,-1.0958458590502838,-1.2830100189703937,-2.2001412830692995,0.6601507307069142,-0.8794945001528541,0.1912079803686563,-0.10380697259708391,-0.3031314848361932,-1.4520533449728636,-2.1206644873878693,-0.6473775404325769,-2.0129238107317144,-1.7571652232828674,0.16742971993256792,4,3.5189623533606467,69.74145956504577,Low
SL382088,0.06440433457698412,0.19717684965392693,0.8984325982357363,0.07648097852185112,0.3804458585061387,-0.1167351543842519,0.20760556477070857,0.26565253614744827,-0.10149651346137191,-0.25796723303716773,0.7070188070639559,0.423008152577546,-0.04371927014155252,-0.26627435108496,-0.3376515854615407,0.16334767182258125,0.4742478645569838,0.1645106147768221,0.39707312335663836,-0.6820671170224644,0.12966814810917862,-0.7572107884769578,-0.999132930909365,0.6964987216699106,0.34757771034559454,0.2889816229131984,0.8570073523222486,-0.10081431328692252,0.2111965800446931,-0.006819038453142285,-18,3.4450618249818117,21.30136602019389,Low
SL382090,0.8125866010871851,0.36770040794768705,0.5685626371775797,0.22299391592835613,0.38613865367297556,0.33674385968655035,0.6927726058499768,0.8630886930207589,0.6914845828019703,-0.4138426001781841,0.6510122905507603,0.6149035546912603,-0.46716777885574373,0.5757533427456429,0.6690158391189278,0.5955628373667142,0.39605792131013345,0.5060318524936976,0.8823531386422436,-0.9338957924451808,0.3436578651578194,-0.30608709878517054,-0.7080135393548138,0.22142254653048607,0.5357010890007913,0.7057052536561299,0.3991007975127474,0.6549092781941956,0.4645236667078721,-0.18560706880997385,-26,3.4561073293233338,23.45862566269644,Low
SL382091,0.08457458240370927,-0.383337601317561,-0.16618632831189306,-0.38626932032739003,-0.2777705811803272,0.10863478627064502,0.1458036428789479,-0.20390501354300364,-0.018715022553178747,0.47362170734603115,0.23355706959912748,-0.04255880543117194,0.2590113744597287,0.16684781017819927,-0.027405650907940705,0.16553403990482748,-0.10403461312195128,0.19069488989221156,-0.021279532060426178,-0.13270269291103823,-0.10416600146976149,0.570801271760939,0.6374136060505238,-0.6473084673303967,-0.06728218810106106,0.09076716505522377,-0.5403231049692564,-0.22708478738654903,-0.23273007467048865,-0.26113467157756365,14,3.49945608054132,67.906447482938745,Low
SL382092,-0.5476635993664105,0.09701994301930598,-0.32113186517179043,-0.3633548162252773,-0.577906450104872,-0.3806310180469515,-0.37865153384873385,-0.7868800407503403,-0.8340241177926576,0.4290772277451712,-0.261107197592791,-0.23317063002277943,0.5614127045644904,-0.4121043182219468,-0.7899633378415669,-0.42986600543893344,-0.7027996388364764,-0.7391954652397728,-0.8233729870916704,-0.05281019426330451,-0.32061211023470154,-0.038196657719709204,0.3622264433473263,-0.27076117227268787,-0.6613769050944147,-0.7240459086991757,0.7417734671780513,-0.7044719559770721,-0.8395921965121292,-0.5779040113404309,22,3.461236560725044,76.20293656936425,Low
